"SMILES","InChIKey","AromaticRingCount","HBondDonorCount","HBondAcceptorCount","FractionCarbonSP3","HeteroatomCount","HeterocycleCount","RotatableBondCount","MolecularMass","DegreeOfUnsaturation","MinEllipsoidLength","MaxDistance","LongestPiChain","LinkerLength","MaxAbsorbanceWavelength"
"CCN1C(=CC=CC=CC2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21","HPICMEGAGMPYID-UHFFFAOYSA-N",2,2,7,0.3939393939393939,12,2,12,656.8,15,665.3709729861595,19.89021194343738,16,6,684.1687049
"COc1ccc(C(OCCCN2C(=CC=CC=CC3=[N+](CCCOP(OCCC#N)N(C(C)C)C(C)C)c4ccccc4C3(C)C)C(C)(C)c3ccccc32)(c2ccccc2)c2ccccc2)cc1","WQVYZWOFBGLVGB-UHFFFAOYSA-N",5,0,7,0.36666666666666664,9,2,23,944.2,27,1233.7814553130786,27.749256093053244,16,6,630.6343537
"CC[N+]1=C(C=CC=CC=CC=C2N(CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21","ROGODJHHEBREAB-UHFFFAOYSA-N",2,1,10,0.38461538461538464,15,3,14,779.9,19,666.1315093371409,23.568347836304795,18,8,754.3289741
"c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc([n-]c4nc(n1)-c1ccccc1-4)-c1ccccc1-3)c1ccccc21","YSZJMRCSMGEWDG-UHFFFAOYSA-N",6,1,6,0.,8,5,0,513.54,29,17337.20302170333,15.504700298192276,13,0,515.5920127
"CCN1C(=CC=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21","WXWLHDCCGVWTDZ-UHFFFAOYSA-N",2,1,10,0.40540540540540543,15,3,13,753.9,18,954.7213121905094,25.05443630804628,16,6,675.2504235
"C#CCN=C([O-])CCCCC[N+]1=C(C=CC=CC=C2N(C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21","AYVUBCDPIPUAPY-UHFFFAOYSA-N",2,0,3,0.37142857142857144,4,2,10,519.73,17,275.55341011253523,17.851840308987317,16,6,641.4051646
"CCN1c2ccccc2C=C/C1=C/c1[n+](CC)c2ccccc2cc1","AGJZCWVTGOVGBS-UHFFFAOYSA-N",3,0,1,0.17391304347826086,2,2,3,327.45,13,121.72020970626933,13.502993473664176,12,2,496.6288721
"CCN1c2ccccc2S/C1=C\C=C\c1[n+](CC)c2ccccc2o1","CGMUVVDKGKQWHC-UHFFFAOYSA-N",3,0,3,0.19047619047619047,4,2,4,349.47,12,585.6969158456421,15.910653648031015,13,4,504.0891091
"CCN1C=C/C(=C\c2[n+](CC)c3ccccc3cc2)c2ccccc21","CJRNTVYQEXDVCB-UHFFFAOYSA-N",3,0,1,0.17391304347826086,2,2,3,327.45,13,263.4702018031316,13.709307176058353,11,2,540.8187202
"CCN1c2ccccc2O/C1=C\C=C/C=C\C=C\c1[n+](CC)c2ccccc2cc1","CKDJYLWILGWPSZ-UHFFFAOYSA-N",3,0,2,0.14814814814814814,3,2,6,395.53,15,1569.0790840646591,19.834192711532125,17,8,710.5335829
"CCN1c2ccccc2O/C1=C\C=C/c1cc[n+](CC)c2ccccc12","COUGSHBDUFTYFC-UHFFFAOYSA-N",3,0,2,0.17391304347826086,3,2,4,343.45,13,220.40526937815093,15.40743894068144,12,4,543.3773732
"CCN1c2ccccc2S/C1=C\C=C\c1cc[n+](CC)c2ccccc12","DJAQPUXEDANWNL-UHFFFAOYSA-N",3,0,2,0.17391304347826086,3,2,4,359.51,13,478.77546807146376,16.4102937538699,13,4,582.169867
"CCN1C=C/C(=C/c2[n+](CC)c3ccccc3o2)c2ccccc21","FDTNKKIOSYITHD-UHFFFAOYSA-N",3,0,2,0.19047619047619047,3,2,3,317.41,12,100.23120894749424,12.68697415535466,10,2,487.2962515
"CCN1c2ccccc2S/C1=C\C=C/C=C\c1[n+](CC)c2ccccc2s1","FYXWDSGGZAMYFZ-UHFFFAOYSA-N",3,0,3,0.17391304347826086,4,2,5,391.6,13,550.1992606161432,17.235401641392517,15,6,635.0695185
"CCN1c2ccccc2C=C/C1=C\C=C/c1[n+](CC)c2ccccc2cc1","HQCBCYUEDZNVBO-UHFFFAOYSA-N",3,0,1,0.16,2,2,4,353.49,14,224.11837965319884,14.673732529392591,14,4,602.000594
"CCN1c2ccccc2C=C/C1=C\C=C\C=C/c1[n+](CC)c2ccccc2cc1","HUKKJPBJMKANKC-UHFFFAOYSA-N",3,0,1,0.14814814814814814,2,2,5,379.53,15,344.14376237183643,16.491348914929933,16,6,708.7291289
"CCN1c2ccccc2S/C1=C\C=C/C=C/c1[n+](CC)c2ccccc2cc1","ICQLMXQDTPECJU-UHFFFAOYSA-N",3,0,2,0.16,3,2,5,385.55,14,338.4208974594373,17.753381101906005,16,6,666.245839
"CCN1c2ccccc2S/C1=C\C=C\c1[n+](CC)c2ccccc2s1","JGLWGLKNDHZFAP-UHFFFAOYSA-N",3,0,3,0.19047619047619047,4,2,4,365.5,12,338.3403723387555,15.800456890372882,13,4,558.8170558
"CCN1c2ccccc2O/C1=C\C=C/C=C\C=C/c1[n+](CC)c2ccccc2s1","KKFSTMHKQKXIPU-UHFFFAOYSA-N",3,0,3,0.16,4,2,6,401.55,14,438.4004460615269,18.81260416822099,16,8,669.226343
"CCN1c2ccccc2S/C1=C\C=C/C=C\c1cc[n+](CC)c2ccccc12","LDIURJODNUMFCD-UHFFFAOYSA-N",3,0,2,0.16,3,2,5,385.55,14,642.192049713485,17.92148195241995,15,6,660.5633786
"CCN1c2ccccc2S/C1=C\C=C/C=C\c1[n+](CC)c2ccccc2o1","LPLCWEKDGKZACI-UHFFFAOYSA-N",3,0,3,0.17391304347826086,4,2,5,375.51,13,727.1801280631206,17.37012685528266,15,6,610.826107
"CCN1C=C/C(=C\C=C/C=C/c2cc[n+](CC)c3ccccc23)c2ccccc21","MLENNECRNUHQQS-UHFFFAOYSA-N",3,0,1,0.14814814814814814,2,2,5,379.53,15,469.30219836758914,17.288464155162483,14,6,758.571887
"CCN1c2ccccc2C=C/C1=C\C=C\C=C\c1cc[n+](CC)c2ccccc12","NNPJVUBHKCZPII-UHFFFAOYSA-N",3,0,1,0.14814814814814814,2,2,5,379.53,15,1332.210672614925,18.259428262253095,15,6,734.2631114
"CCN1c2ccccc2C=C/C1=C\C=C\C=C\C=C\c1[n+](CC)c2ccccc2s1","OKFVOTSYAZGOPA-UHFFFAOYSA-N",3,0,2,0.14814814814814814,3,2,6,411.59,15,1422.086023684689,20.768833966477292,17,8,767.1690427
"CCN1C=C/C(=C\C=C/C=C\C=C/c2cc[n+](CC)c3ccccc23)c2ccccc21","OLZAYSQTVGLQDQ-UHFFFAOYSA-N",3,0,1,0.13793103448275862,2,2,6,405.56,16,569.7768072383368,18.64385152771446,16,8,782.6912098
"CCN1c2ccccc2C=C/C1=C\C=C\c1cc[n+](CC)c2ccccc12","ONKAXOHRKIYFDJ-UHFFFAOYSA-N",3,0,1,0.16,2,2,4,353.49,14,493.36165655286806,16.852443010932546,13,4,623.8562092
"CCN1c2ccccc2C=C/C1=C\C=C\C=C\c1[n+](CC)c2ccccc2o1","OOAUUXKHPBKQDP-UHFFFAOYSA-N",3,0,2,0.16,3,2,5,369.49,14,1174.637733150411,18.47711432382506,15,6,634.384871
"CCN1c2ccccc2C=C/C1=C\C=C\C=C\C=C\c1cc[n+](CC)c2ccccc12","OWYFZVWJTBJIIS-UHFFFAOYSA-N",3,0,1,0.13793103448275862,2,2,6,405.56,16,2290.374458197325,21.238611789107434,17,8,782.901066
"CCN1C=C/C(=C/c2cc[n+](CC)c3ccccc23)c2ccccc21","PBYSOAALDIVUSK-UHFFFAOYSA-N",3,0,1,0.17391304347826086,2,2,3,327.45,13,217.29836130354346,13.150633356847212,10,2,535.7659142
"CCN1c2ccccc2C=C/C1=C\C=C\C=C\C=C/c1[n+](CC)c2ccccc2cc1","PCMCPHHEWAWVOE-UHFFFAOYSA-N",3,0,1,0.13793103448275862,2,2,6,405.56,16,527.3589381500411,18.78400936599799,18,8,788.0670994
"CCN1c2ccccc2O/C1=C\C=C/C=C/c1cc[n+](CC)c2ccccc12","QQWIIVKRRBJCBB-UHFFFAOYSA-N",3,0,2,0.16,3,2,5,369.49,14,398.7429241790454,17.89914570716395,14,6,650.0394615
"CCN1c2ccccc2C=C/C1=C\C=C\c1[n+](CC)c2ccccc2o1","QUZOOPRJWZTRMY-UHFFFAOYSA-N",3,0,2,0.17391304347826086,3,2,4,343.45,13,679.9938519062216,16.256945021795037,13,4,535.1368661
